SerialNo,Season,Name,Role,Price,Team
577,2018,Ranganath Vinay Kumar,Bowler,10000000.0, Kolkata Knight Riders
578,2018,Rinku Singh,Batsman,8000000.0, Kolkata Knight Riders
579,2018,Cameron Delport,All-Rounder,3000000.0, Kolkata Knight Riders
580,2018,Javon Searless,All-Rounder,3000000.0, Kolkata Knight Riders
581,2018,Apoorv Vijay Wankhade,Batsman,2000000.0, Kolkata Knight Riders
582,2018,Ishank Jaggi,Batsman,2000000.0, Kolkata Knight Riders
583,2018,Krunal Pandya,All-Rounder,88000000.0, Mumbai Indians
584,2018,Ishan Kishan,Wicket Keeper,62000000.0, Mumbai Indians
585,2018,Kieron Pollard,All-Rounder,54000000.0, Mumbai Indians
586,2018,Pat Cummins,Bowler,54000000.0, Mumbai Indians
587,2018,Evin Lewis,Batsman,38000000.0, Mumbai Indians
588,2018,Suryakumar Yadav,Batsman,32000000.0, Mumbai Indians
589,2018,Ben Cutting,All-Rounder,22000000.0, Mumbai Indians
590,2018,Mustafizur Rahman,Bowler,22000000.0, Mumbai Indians
591,2018,Rahul Chahar,Bowler,19000000.0, Mumbai Indians
592,2018,Pradeep Sangwan,Bowler,15000000.0, Mumbai Indians
593,2018,Jason Behrendorff,Bowler,15000000.0, Mumbai Indians
594,2018,Jean-Paul Duminy,All-Rounder,10000000.0, Mumbai Indians
595,2018,Saurabh Tiwary,Batsman,8000000.0, Mumbai Indians
596,2018,Tajinder Dhillon,All-Rounder,5500000.0, Mumbai Indians
597,2018,Akila Dhananjaya,Bowler,5000000.0, Mumbai Indians
598,2018,Nidheesh M D Dinesan,Bowler,2000000.0, Mumbai Indians
599,2018,Aditya Tare,Wicket Keeper,2000000.0, Mumbai Indians
600,2018,Siddhesh Dinesh Lad,Batsman,2000000.0, Mumbai Indians
601,2018,Mayank Markande,Bowler,2000000.0, Mumbai Indians
602,2018,Sharad Lumba ,Batsman,2000000.0, Mumbai Indians
603,2018,Anukul Roy,All-Rounder,2000000.0, Mumbai Indians
604,2018,Mohsin Khan,Bowler,2000000.0, Mumbai Indians
605,2018,Benjamin Stokes,All-Rounder,125000000.0, Rajasthan Royals
606,2018,Jaydev Unadkat,Bowler,115000000.0, Rajasthan Royals
607,2018,Sanju Samson,Wicket Keeper,80000000.0, Rajasthan Royals
608,2018,Jofra Archer,All-Rounder,72000000.0, Rajasthan Royals
609,2018,Krishnappa Gowtham,Bowler,62000000.0, Rajasthan Royals
610,2018,Jos Buttler,Wicket Keeper,44000000.0, Rajasthan Royals
611,2018,Ajinkya Rahane,Batsman,40000000.0, Rajasthan Royals
612,2018,Darcy Short,All-Rounder,40000000.0, Rajasthan Royals
613,2018,Rahul Tripathi,Batsman,34000000.0, Rajasthan Royals
614,2018,Dhawal Kulkarni,Bowler,7500000.0, Rajasthan Royals
615,2018,Zahir Khan Pakteen,Bowler,6000000.0, Rajasthan Royals
616,2018,Ben Laughlin,Bowler,5000000.0, Rajasthan Royals
617,2018,Stuart Binny,All-Rounder,5000000.0, Rajasthan Royals
618,2018,Dushmantha Chameera,Bowler,5000000.0, Rajasthan Royals
619,2018,Anureet Singh,Bowler,3000000.0, Rajasthan Royals
620,2018,Aryaman Vikram Birla,All-Rounder,3000000.0, Rajasthan Royals
621,2018,Midhun S,All-Rounder,2000000.0, Rajasthan Royals
622,2018,Shreyas Gopal,All-Rounder,2000000.0, Rajasthan Royals
623,2018,Prashant Chopra,Wicket Keeper,2000000.0, Rajasthan Royals
624,2018,Jatin Saxena,All-Rounder,2000000.0, Rajasthan Royals
625,2018,Ankit Sharma,All-Rounder,2000000.0, Rajasthan Royals
626,2018,Mahipal Lomror,All-Rounder,2000000.0, Rajasthan Royals
627,2018,Chris Woakes,All-Rounder,74000000.0, Royal Challengers Bangalore
628,2018,Yuzvendra Singh Chahal,Bowler,60000000.0, Royal Challengers Bangalore
